waste_type,sub_type,weight_kg,distance_km,consistency_score,month,day_of_week,market_demand_index,county,collection_point,quality_grade,price_per_kg
e_waste,computers,66.5,8.17,0.5993,12,5,0.1513,Mombasa,household,fair,60.22
e_waste,computers,103.43,5.73,0.8621,2,2,0.4353,Nairobi,household,excellent,100.13
paper,newspaper,93.3,0.28,0.8615,11,0,0.6606,Nairobi,commercial,excellent,10.07
paper,office_paper,1.79,0.82,0.7471,6,5,0.2265,Eldoret,dump_site,good,8.99
paper,mixed_paper,44.8,9.8,0.4229,3,0,0.4399,Eldoret,dump_site,poor,4.16
e_waste,batteries,71.85,5.2,0.9772,6,5,0.3383,Nairobi,industrial,excellent,74.33
textile,industrial_textile,42.34,9.44,0.6518,2,5,0.196,Nairobi,household,fair,5.34
paper,newspaper,54.88,4.33,0.6143,2,4,0.4706,Nairobi,industrial,fair,11.37
plastic,HDPE,1.96,1.09,0.7083,6,2,0.7161,Mombasa,commercial,good,23.09
paper,newspaper,5.03,7.94,0.9381,8,5,0.667,Mombasa,industrial,excellent,13.59
metal,brass,50.47,12.0,0.61,7,0,0.7318,Nairobi,industrial,fair,333.94
e_waste,cables,13.2,12.2,0.8291,7,2,0.3719,Mombasa,commercial,good,78.21
paper,office_paper,12.83,2.08,0.886,7,0,0.2322,Mombasa,household,excellent,18.34
rubber,mixed_rubber,23.03,11.1,0.4511,7,2,0.6973,Nairobi,industrial,poor,10.66
paper,mixed_paper,10.53,2.07,0.7703,3,4,0.2231,Nakuru,industrial,good,6.71
plastic,PVC,0.86,14.62,0.8677,6,4,0.4851,Mombasa,commercial,excellent,9.5
plastic,PVC,35.18,5.82,0.468,3,0,0.2263,Nairobi,commercial,poor,8.24
plastic,HDPE,12.85,0.98,0.8378,11,4,0.5458,Mombasa,commercial,good,24.88
rubber,tyres,22.63,6.02,0.7472,10,6,0.4515,Kisumu,industrial,good,18.49
e_waste,cables,54.62,3.12,0.883,5,6,0.494,Kisumu,industrial,excellent,82.62
plastic,HDPE,4.15,0.23,0.5746,11,1,0.5043,Nairobi,household,fair,21.4
plastic,PP,59.15,5.2,0.5139,10,4,0.6298,Nairobi,industrial,fair,15.87
paper,office_paper,43.14,4.3,0.6463,4,6,0.2852,Nairobi,industrial,fair,15.92
plastic,mixed_plastic,20.81,0.37,0.8028,1,0,0.6136,Nairobi,commercial,good,15.07
paper,cardboard,6.17,2.01,0.8477,6,2,0.1161,Mombasa,dump_site,good,10.7
plastic,mixed_plastic,137.75,6.24,0.8684,1,5,0.735,Nairobi,dump_site,excellent,14.58
plastic,PET,2.28,0.72,0.6628,3,1,0.5875,Nairobi,industrial,fair,33.37
plastic,PVC,19.63,0.83,0.6605,8,3,0.5655,Nairobi,commercial,fair,10.12
e_waste,batteries,56.91,6.6,0.4234,2,2,0.4411,Nakuru,household,poor,32.53
glass,clear_glass,13.98,14.02,0.7317,9,4,0.5955,Mombasa,household,good,6.7
e_waste,phones,25.73,15.86,0.7682,10,2,0.6669,Nairobi,household,good,102.36
metal,copper,23.22,5.8,0.5242,7,0,0.768,Nairobi,commercial,fair,468.72
metal,aluminum,5.37,12.25,0.882,1,6,0.5515,Nakuru,industrial,excellent,109.72
metal,steel,100.06,4.99,0.6699,10,3,0.2466,Nakuru,industrial,fair,20.87
metal,copper,11.71,16.78,0.7698,12,5,0.6258,Mombasa,household,good,401.33
plastic,PET,2.56,0.31,0.6861,2,4,0.4744,Kisumu,commercial,fair,30.11
paper,mixed_paper,142.58,1.37,0.6579,9,0,0.2345,Nairobi,household,fair,7.79
e_waste,phones,13.92,13.19,0.7364,12,6,0.6051,Nakuru,commercial,good,87.28
textile,clothes,3.52,30.8,0.4099,8,6,0.3987,Nairobi,industrial,poor,9.42
plastic,mixed_plastic,6.69,5.03,0.8489,9,6,0.315,Nairobi,commercial,good,13.22
organic,garden_waste,33.32,11.44,0.8289,7,3,0.5152,Mombasa,commercial,good,9.03
paper,newspaper,28.92,2.94,0.8082,7,5,0.5653,Mombasa,industrial,good,11.3
paper,cardboard,34.26,10.49,0.8385,7,6,0.6768,Nairobi,household,good,17.28
paper,office_paper,1.19,6.43,0.7508,3,2,0.6395,Eldoret,industrial,good,13.91
plastic,PP,18.2,11.02,0.8665,8,0,0.6065,Nairobi,household,excellent,19.72
metal,aluminum,12.23,6.8,0.7841,10,5,0.2933,Kisumu,commercial,good,78.13
e_waste,batteries,6.06,2.62,0.6654,1,4,0.2216,Nairobi,household,fair,46.07
e_waste,computers,53.87,1.45,0.5398,3,1,0.2178,Nairobi,dump_site,fair,64.03
paper,office_paper,8.37,2.59,0.5882,9,4,0.6202,Nairobi,commercial,fair,17.55
glass,clear_glass,41.52,10.21,0.7704,11,4,0.7664,Eldoret,commercial,good,6.29
metal,copper,133.73,7.16,0.7148,7,3,0.7324,Nakuru,commercial,good,463.63
paper,cardboard,44.93,0.33,0.8119,1,5,0.6643,Nairobi,industrial,good,21.01
metal,aluminum,101.5,2.27,0.9184,8,2,0.4937,Nakuru,commercial,excellent,116.19
metal,steel,18.06,6.58,0.6395,7,3,0.4283,Nairobi,commercial,fair,27.76
paper,cardboard,25.06,0.4,0.5336,5,2,0.4861,Nairobi,industrial,fair,13.64
paper,newspaper,65.02,3.78,0.7646,2,5,0.6228,Mombasa,household,good,9.75
glass,colored_glass,28.72,4.66,0.6169,9,2,0.5428,Mombasa,household,fair,4.59
textile,industrial_textile,3.38,13.0,0.8374,11,0,0.5433,Nairobi,commercial,good,6.32
metal,aluminum,7.84,5.11,0.4747,9,2,0.7573,Nairobi,household,poor,90.26
metal,steel,9.99,3.45,0.7979,4,1,0.4989,Nairobi,household,good,22.2
plastic,PET,33.47,3.73,0.6891,4,1,0.6193,Kisumu,industrial,fair,26.84
glass,colored_glass,3.35,3.54,0.7291,11,4,0.477,Nairobi,commercial,good,5.33
plastic,PET,47.93,5.06,0.5681,5,3,0.5827,Eldoret,industrial,fair,23.65
plastic,PP,88.74,3.36,0.4278,9,5,0.2956,Nairobi,household,poor,12.02
metal,brass,65.45,6.15,0.8414,3,3,0.7696,Mombasa,dump_site,good,328.3
textile,clothes,31.11,3.03,0.5075,5,3,0.655,Mombasa,industrial,fair,12.55
e_waste,cables,4.77,3.62,0.5931,2,4,0.4822,Nakuru,household,fair,57.23
paper,newspaper,26.85,17.39,0.8661,1,1,0.5483,Mombasa,commercial,excellent,11.68
plastic,HDPE,4.48,1.64,0.6936,3,2,0.6073,Nairobi,commercial,fair,28.11
metal,aluminum,8.13,15.79,0.9191,10,0,0.518,Mombasa,household,excellent,94.48
paper,cardboard,10.28,2.3,0.5848,4,6,0.409,Nairobi,industrial,fair,14.34
e_waste,computers,1.37,2.25,0.7697,9,5,0.4835,Kisumu,industrial,good,87.48
e_waste,batteries,83.02,4.63,0.6714,5,5,0.678,Mombasa,commercial,fair,47.26
plastic,HDPE,64.61,1.25,0.8671,11,0,0.4156,Nairobi,commercial,excellent,29.11
glass,colored_glass,58.15,3.18,0.5817,11,3,0.5416,Kisumu,dump_site,fair,3.89
plastic,PET,59.96,0.55,0.5766,6,4,0.6632,Mombasa,household,fair,28.54
organic,food_waste,52.74,2.49,0.8463,7,0,0.2117,Nairobi,commercial,good,7.04
paper,cardboard,47.71,11.09,0.8108,10,0,0.4979,Kisumu,household,good,11.22
glass,clear_glass,8.77,7.92,0.8522,12,2,0.2304,Nairobi,dump_site,excellent,6.77
glass,colored_glass,36.17,1.89,0.8283,7,5,0.7304,Kisumu,industrial,good,7.62
glass,colored_glass,31.06,8.15,0.8938,10,3,0.3454,Nairobi,dump_site,excellent,5.84
e_waste,phones,7.77,4.73,0.5896,8,4,0.4835,Nakuru,industrial,fair,102.62
plastic,PET,15.84,4.44,0.8799,10,2,0.5245,Nairobi,household,excellent,33.5
organic,garden_waste,11.21,1.01,0.4988,6,0,0.5471,Nairobi,commercial,poor,6.7
metal,aluminum,68.67,3.07,0.5895,11,3,0.173,Nairobi,household,fair,80.87
metal,aluminum,72.99,5.18,0.7657,3,4,0.1329,Eldoret,dump_site,good,85.93
metal,copper,45.03,4.82,0.959,7,0,0.4318,Eldoret,commercial,excellent,577.93
metal,copper,1.81,2.6,0.3393,7,3,0.4615,Nairobi,household,poor,342.94
plastic,mixed_plastic,4.28,1.12,0.7068,2,6,0.4325,Nairobi,industrial,good,15.46
metal,copper,12.57,8.9,0.7092,7,5,0.3328,Nairobi,household,good,527.51
rubber,tyres,10.15,8.05,0.5759,12,5,0.4465,Nairobi,household,fair,14.12
plastic,PET,60.99,6.6,0.6877,6,4,0.8237,Eldoret,commercial,fair,30.1
metal,aluminum,4.76,2.82,0.5827,11,6,0.5046,Mombasa,industrial,fair,88.31
metal,copper,7.64,1.24,0.8579,8,3,0.3513,Mombasa,household,excellent,502.63
paper,newspaper,31.55,2.2,0.821,11,1,0.544,Nairobi,household,good,8.0
metal,tin,0.72,14.94,0.5541,8,2,0.4804,Nairobi,dump_site,fair,14.54
e_waste,batteries,28.74,7.5,0.7899,4,2,0.8683,Eldoret,industrial,good,45.08
textile,industrial_textile,33.4,14.12,0.7225,1,3,0.3267,Nairobi,commercial,good,7.95
paper,cardboard,45.36,1.16,0.6636,11,1,0.4373,Nairobi,commercial,fair,13.37
paper,mixed_paper,7.87,1.87,0.4524,8,1,0.2472,Nairobi,commercial,poor,8.84
plastic,PET,7.38,6.37,0.5455,10,6,0.217,Kisumu,industrial,fair,21.25
metal,aluminum,2.68,3.14,0.7155,1,1,0.6227,Eldoret,household,good,93.12
e_waste,phones,2.94,3.58,0.5146,8,0,0.6184,Nakuru,commercial,fair,99.03
organic,food_waste,54.6,18.02,0.7133,3,0,0.2907,Eldoret,household,good,3.77
metal,steel,4.45,0.89,0.6044,8,3,0.4659,Nairobi,industrial,fair,31.1
paper,office_paper,24.62,4.4,0.9944,2,3,0.6598,Nairobi,dump_site,excellent,22.69
plastic,mixed_plastic,38.25,1.87,0.7349,12,5,0.4026,Mombasa,industrial,good,12.41
textile,industrial_textile,17.45,19.51,0.6481,8,5,0.3839,Nairobi,industrial,fair,7.68
plastic,PP,53.86,4.86,0.6096,1,6,0.4498,Kisumu,household,fair,11.27
paper,mixed_paper,116.58,1.18,0.8184,5,5,0.5406,Nairobi,household,good,9.93
e_waste,mixed_ewaste,0.87,12.26,0.5037,10,3,0.3449,Kisumu,industrial,fair,46.22
plastic,PET,65.66,7.1,0.73,8,1,0.4818,Mombasa,commercial,good,38.78
metal,brass,25.9,2.59,0.8205,11,4,0.3986,Nakuru,household,good,262.48
glass,clear_glass,26.6,4.86,0.7719,10,0,0.5778,Mombasa,industrial,good,9.06
glass,mixed_glass,45.42,2.05,0.9383,10,1,0.2138,Nairobi,household,excellent,4.14
paper,office_paper,5.47,2.03,0.8726,5,3,0.4815,Mombasa,household,excellent,14.48
organic,food_waste,13.91,4.67,0.9416,12,2,0.4669,Eldoret,dump_site,excellent,4.13
metal,steel,42.96,1.54,0.9712,3,1,0.8403,Nairobi,household,excellent,38.97
paper,office_paper,65.47,1.49,0.8187,12,3,0.4054,Eldoret,household,good,11.41
rubber,tyres,1.36,3.05,0.8637,8,1,0.5845,Nairobi,industrial,excellent,27.7
metal,steel,44.39,0.82,0.8142,11,4,0.3891,Nakuru,dump_site,good,20.29
plastic,HDPE,8.05,2.83,0.1957,6,6,0.4112,Eldoret,household,poor,12.9
plastic,HDPE,35.06,10.75,0.786,8,2,0.6702,Nairobi,industrial,good,30.33
organic,garden_waste,33.81,11.3,0.6892,6,4,0.5475,Nairobi,commercial,fair,7.86
rubber,tyres,15.5,11.92,0.5874,4,4,0.5726,Nakuru,household,fair,13.03
metal,tin,16.35,3.89,0.6193,10,6,0.6138,Mombasa,industrial,fair,20.52
rubber,mixed_rubber,26.9,9.89,0.5437,4,3,0.5069,Nairobi,household,fair,8.79
plastic,PP,63.93,1.79,0.6969,9,5,0.6972,Nairobi,commercial,fair,18.97
metal,brass,60.95,11.87,0.8257,9,4,0.7082,Nairobi,household,good,320.4
metal,copper,9.22,9.78,0.5322,11,4,0.1347,Nairobi,industrial,fair,372.97
paper,mixed_paper,3.09,9.83,0.4727,12,5,0.4359,Nairobi,industrial,poor,7.19
glass,colored_glass,4.37,11.37,0.7608,10,5,0.6752,Mombasa,household,good,5.16
metal,brass,7.63,11.48,0.7407,6,5,0.2475,Mombasa,commercial,good,245.28
metal,copper,13.8,9.41,0.6721,5,3,0.4341,Mombasa,industrial,fair,440.24
metal,tin,34.73,4.01,0.4961,3,3,0.2791,Nairobi,industrial,poor,21.18
plastic,PP,26.14,0.82,0.3893,8,5,0.5741,Nairobi,household,poor,13.04
plastic,HDPE,37.11,8.89,0.7555,11,0,0.325,Kisumu,commercial,good,21.32
paper,mixed_paper,31.18,5.24,0.7584,1,6,0.4201,Nairobi,commercial,good,8.03
paper,mixed_paper,8.66,2.72,0.7731,7,6,0.3677,Mombasa,commercial,good,8.66
paper,office_paper,26.45,0.3,0.6149,2,6,0.7956,Nakuru,household,fair,12.14
paper,office_paper,24.69,9.38,0.9767,4,5,0.5349,Nairobi,household,excellent,18.48
plastic,PET,40.95,4.83,0.8504,1,2,0.7725,Nairobi,commercial,excellent,45.05
glass,clear_glass,58.06,8.07,0.8537,1,5,0.1008,Nairobi,household,excellent,6.09
metal,brass,11.91,0.75,0.5149,12,3,0.2561,Nairobi,commercial,fair,227.36
paper,newspaper,38.99,1.58,0.5528,5,0,0.6782,Mombasa,commercial,fair,9.36
paper,mixed_paper,77.92,8.38,0.3306,4,2,0.7442,Nairobi,household,poor,6.21
glass,clear_glass,1.35,1.45,0.6659,11,6,0.6352,Nairobi,industrial,fair,8.74
e_waste,batteries,73.66,14.16,0.4276,6,6,0.2329,Nairobi,household,poor,36.77
organic,garden_waste,27.89,0.91,0.732,4,0,0.6741,Mombasa,dump_site,good,6.36
plastic,mixed_plastic,24.56,7.66,0.667,7,2,0.5161,Kisumu,industrial,fair,11.19
plastic,mixed_plastic,11.62,4.12,0.3488,12,5,0.7686,Nakuru,commercial,poor,8.11
plastic,PP,2.11,0.57,0.6396,4,5,0.5683,Nairobi,industrial,fair,18.12
paper,cardboard,31.73,1.64,0.7364,5,5,0.3685,Nakuru,household,good,12.12
textile,industrial_textile,22.17,10.36,0.5753,8,0,0.3389,Nairobi,industrial,fair,7.01
e_waste,phones,40.49,1.7,0.8806,5,5,0.5158,Kisumu,commercial,excellent,126.01
plastic,PVC,3.86,9.31,0.6432,1,0,0.4417,Nairobi,dump_site,fair,7.64
glass,mixed_glass,12.97,27.01,0.6703,11,5,0.5458,Kisumu,industrial,fair,3.29
metal,steel,3.7,6.29,0.5398,4,0,0.671,Nairobi,industrial,fair,24.49
e_waste,mixed_ewaste,44.82,1.7,0.5235,8,3,0.4636,Nakuru,dump_site,fair,36.96
paper,cardboard,1.22,8.27,0.7274,8,6,0.617,Eldoret,dump_site,good,9.49
paper,cardboard,5.43,2.55,0.3883,9,4,0.3937,Nairobi,commercial,poor,10.45
paper,office_paper,54.17,1.18,0.8344,5,0,0.4023,Kisumu,household,good,13.26
metal,tin,1.24,3.22,0.947,9,4,0.5241,Nairobi,industrial,excellent,32.46
plastic,HDPE,2.16,1.29,0.6915,1,6,0.4919,Nairobi,household,fair,23.01
plastic,HDPE,14.37,0.36,0.8326,2,0,0.4286,Nakuru,industrial,good,28.69
metal,aluminum,16.39,2.46,0.7688,11,2,0.5633,Nairobi,household,good,122.4
textile,clothes,1.21,2.22,0.5279,4,2,0.6059,Nairobi,commercial,fair,11.22
e_waste,computers,1.35,16.43,0.7504,5,3,0.7274,Nakuru,commercial,good,71.78
metal,brass,70.25,3.46,0.8407,7,3,0.5667,Nairobi,industrial,good,429.84
plastic,mixed_plastic,10.48,9.57,0.5926,3,5,0.389,Mombasa,industrial,fair,10.79
plastic,PVC,32.28,1.3,0.2123,11,2,0.5351,Nakuru,commercial,poor,4.97
organic,garden_waste,61.27,10.75,0.4569,4,5,0.7286,Nairobi,household,poor,5.06
e_waste,mixed_ewaste,10.1,2.47,0.6663,8,0,0.6504,Kisumu,dump_site,fair,41.36
plastic,PVC,67.36,4.18,0.7141,8,1,0.4996,Nairobi,household,good,10.32
plastic,HDPE,16.3,3.15,0.87,6,6,0.4295,Nakuru,commercial,excellent,24.57
glass,colored_glass,8.24,6.7,0.6283,4,6,0.5512,Nairobi,commercial,fair,4.74
plastic,PP,11.1,4.12,0.7953,12,3,0.5231,Eldoret,commercial,good,13.27
plastic,HDPE,26.06,2.12,0.7017,9,0,0.5708,Mombasa,household,good,25.09
paper,mixed_paper,15.02,10.2,0.5855,12,0,0.5839,Nairobi,industrial,fair,8.04
metal,steel,26.22,5.1,0.7689,10,3,0.5728,Nairobi,household,good,26.7
paper,mixed_paper,91.57,14.28,0.8701,4,3,0.4122,Nairobi,commercial,excellent,8.63
metal,brass,3.43,4.4,0.8236,11,1,0.6609,Eldoret,commercial,good,224.44
metal,copper,17.58,3.58,0.6623,1,4,0.713,Nairobi,commercial,fair,501.69
rubber,tyres,12.66,1.54,0.7369,6,2,0.4103,Kisumu,household,good,15.42
plastic,PVC,17.38,4.36,0.5491,6,0,0.5365,Nairobi,dump_site,fair,6.62
glass,clear_glass,5.27,2.18,0.6693,12,2,0.4767,Nairobi,commercial,fair,8.46
metal,tin,10.86,7.69,0.9094,11,0,0.3922,Nairobi,industrial,excellent,24.78
organic,food_waste,19.09,1.0,0.7193,4,2,0.3373,Nakuru,commercial,good,4.42
plastic,PVC,5.56,26.44,0.8506,7,4,0.6809,Nairobi,commercial,excellent,9.74
paper,cardboard,24.89,10.82,0.3419,4,3,0.6667,Nairobi,dump_site,poor,7.62
metal,aluminum,166.17,4.18,0.5417,4,0,0.8658,Mombasa,commercial,fair,108.4
paper,newspaper,6.5,6.17,0.733,12,6,0.4059,Nakuru,household,good,6.99
metal,copper,26.66,11.06,0.7038,4,1,0.3232,Nairobi,industrial,good,496.31
rubber,mixed_rubber,37.42,11.67,0.9333,6,6,0.2263,Mombasa,household,excellent,10.65
organic,garden_waste,18.31,0.5,0.8162,11,3,0.5787,Nairobi,industrial,good,8.19
metal,aluminum,7.91,4.35,0.5155,4,4,0.3998,Nairobi,commercial,fair,81.22
plastic,mixed_plastic,2.98,5.86,0.6169,12,1,0.5565,Kisumu,industrial,fair,9.81
textile,clothes,2.48,6.15,0.7151,4,3,0.4202,Nairobi,household,good,11.39
plastic,PP,57.0,1.24,0.7144,12,5,0.4882,Nairobi,household,good,17.03
metal,aluminum,17.66,23.81,0.7355,10,0,0.5016,Nairobi,commercial,good,86.48
plastic,mixed_plastic,1.67,3.1,0.6404,3,5,0.4834,Nakuru,household,fair,8.76
metal,brass,33.95,4.65,0.7078,6,0,0.5992,Nairobi,household,good,305.65
glass,mixed_glass,19.3,7.0,0.8982,10,4,0.6996,Nairobi,dump_site,excellent,4.23
glass,mixed_glass,75.27,2.14,0.7532,7,1,0.5145,Nairobi,household,good,4.91
plastic,PP,88.13,8.56,0.7633,12,5,0.2446,Eldoret,household,good,12.47
rubber,tyres,2.76,5.11,0.8058,2,6,0.547,Nairobi,commercial,good,23.63
organic,food_waste,33.55,0.54,0.6985,3,0,0.5573,Mombasa,commercial,fair,6.09
plastic,PVC,24.4,5.32,0.8017,9,2,0.5062,Nairobi,commercial,good,9.58
metal,aluminum,6.46,1.21,0.6016,8,4,0.3928,Nairobi,commercial,fair,120.92
metal,steel,17.84,10.11,0.7008,10,6,0.6349,Nairobi,household,good,25.41
plastic,PVC,19.24,6.52,0.7432,6,5,0.7654,Nakuru,commercial,good,9.11
paper,newspaper,14.24,1.03,0.8035,9,1,0.7412,Nairobi,commercial,good,10.89
paper,office_paper,20.49,0.59,0.8725,10,1,0.5574,Nairobi,household,excellent,17.39
organic,garden_waste,12.04,7.87,0.4953,4,1,0.5574,Mombasa,household,poor,5.12
paper,mixed_paper,28.68,1.42,0.8246,7,6,0.6427,Nairobi,dump_site,good,10.46
plastic,PET,24.11,4.61,0.8789,11,1,0.2529,Nairobi,dump_site,excellent,29.0
e_waste,mixed_ewaste,3.48,6.87,0.7378,2,5,0.5062,Nairobi,household,good,58.1
plastic,mixed_plastic,70.57,0.65,0.5185,4,3,0.6077,Eldoret,household,fair,7.3
metal,aluminum,23.54,3.44,0.7919,1,6,0.5344,Nairobi,commercial,good,108.25
e_waste,cables,27.27,0.28,0.8312,9,3,0.6,Nairobi,industrial,good,100.96
organic,food_waste,22.45,2.44,0.8115,11,3,0.5466,Nairobi,commercial,good,5.97
rubber,tyres,4.79,16.2,0.8837,1,6,0.3545,Nakuru,household,excellent,15.19
textile,industrial_textile,25.18,5.38,0.7064,6,2,0.7298,Nakuru,household,good,5.68
metal,tin,63.53,6.42,0.8717,10,0,0.6432,Kisumu,industrial,excellent,22.35
textile,industrial_textile,24.56,12.57,0.9314,3,6,0.2762,Kisumu,dump_site,excellent,5.88
organic,food_waste,13.07,8.39,0.7766,6,3,0.4967,Nairobi,commercial,good,5.53
e_waste,phones,16.25,11.17,0.7294,7,5,0.3451,Nairobi,household,good,100.05
plastic,PP,9.17,0.74,0.6105,9,2,0.6702,Mombasa,industrial,fair,18.12
paper,office_paper,41.44,4.59,0.599,12,1,0.4656,Kisumu,commercial,fair,12.73
e_waste,computers,3.94,12.31,0.9221,3,5,0.6248,Nakuru,dump_site,excellent,67.63
paper,mixed_paper,6.86,6.45,0.7545,8,4,0.7132,Nairobi,household,good,8.76
paper,office_paper,36.43,6.65,0.5083,8,3,0.3154,Kisumu,industrial,fair,12.82
plastic,PVC,7.34,1.42,0.5728,12,4,0.4776,Nairobi,dump_site,fair,6.87
metal,copper,7.69,14.43,0.6921,11,5,0.6044,Nairobi,dump_site,fair,360.56
glass,colored_glass,28.85,5.27,0.7142,3,3,0.3761,Mombasa,household,good,5.68
e_waste,phones,22.34,0.72,0.7562,3,5,0.3986,Nairobi,industrial,good,133.04
organic,food_waste,62.33,0.99,0.6299,6,6,0.5662,Nairobi,dump_site,fair,4.54
metal,aluminum,44.37,3.4,0.9356,5,0,0.6098,Mombasa,household,excellent,114.21
metal,steel,74.35,36.29,0.7442,3,3,0.4995,Nairobi,commercial,good,25.0
plastic,PVC,12.19,0.54,0.6097,6,3,0.5368,Eldoret,commercial,fair,8.39
paper,cardboard,10.82,2.37,0.6822,5,6,0.5517,Nairobi,industrial,fair,15.18
plastic,HDPE,4.22,21.36,0.837,9,0,0.7715,Mombasa,household,good,25.2
e_waste,mixed_ewaste,34.45,2.21,0.6736,11,2,0.4246,Mombasa,household,fair,44.53
plastic,HDPE,47.21,16.66,0.5729,11,5,0.3686,Eldoret,dump_site,fair,12.65
metal,steel,1.35,0.37,0.7954,7,6,0.4746,Nairobi,commercial,good,35.59
rubber,mixed_rubber,48.55,2.0,0.6038,8,0,0.799,Nairobi,industrial,fair,14.55
metal,brass,11.53,4.52,0.7496,6,1,0.2352,Nairobi,household,good,253.13
plastic,mixed_plastic,27.46,3.67,0.7591,7,6,0.6718,Nairobi,household,good,12.22
e_waste,mixed_ewaste,17.58,3.2,0.6265,9,5,0.4788,Kisumu,commercial,fair,53.25
metal,aluminum,31.84,1.75,0.6801,10,0,0.8567,Nakuru,dump_site,fair,89.26
metal,brass,18.57,3.79,0.5495,1,2,0.6761,Eldoret,commercial,fair,213.91
plastic,mixed_plastic,20.46,5.84,0.8839,3,5,0.4061,Mombasa,commercial,excellent,12.97
plastic,PP,32.99,10.5,0.5502,8,4,0.5595,Kisumu,household,fair,13.22
e_waste,phones,25.79,1.28,0.9151,7,5,0.3899,Nakuru,commercial,excellent,123.52
paper,mixed_paper,16.31,8.18,0.8952,7,5,0.6439,Kisumu,commercial,excellent,9.83
rubber,mixed_rubber,20.92,0.48,0.4762,10,6,0.4537,Eldoret,household,poor,6.64
rubber,mixed_rubber,1.86,9.53,0.9253,12,4,0.6506,Nairobi,household,excellent,13.21
plastic,PVC,17.5,2.26,0.978,8,4,0.2782,Nairobi,dump_site,excellent,10.84
plastic,HDPE,20.97,2.29,0.6262,7,4,0.6923,Nakuru,household,fair,19.67
e_waste,batteries,6.76,3.56,0.5443,5,2,0.6354,Nairobi,dump_site,fair,39.85
plastic,mixed_plastic,55.37,1.92,0.6779,11,4,0.3869,Nairobi,dump_site,fair,7.49
paper,newspaper,22.37,7.65,0.8456,12,3,0.5145,Nairobi,household,good,8.89
paper,newspaper,23.5,10.66,0.8116,1,0,0.4135,Mombasa,dump_site,good,7.88
glass,clear_glass,56.08,2.21,0.8964,8,1,0.3742,Nairobi,commercial,excellent,10.7
paper,newspaper,0.85,6.9,0.4852,5,6,0.5215,Mombasa,household,poor,5.96
glass,colored_glass,3.75,7.59,0.5254,12,4,0.7664,Nakuru,dump_site,fair,3.63
paper,mixed_paper,9.52,5.78,0.7964,12,5,0.6005,Mombasa,commercial,good,8.39
glass,mixed_glass,4.14,5.83,0.6855,5,5,0.4159,Nakuru,industrial,fair,3.54
metal,steel,4.03,8.11,0.5327,6,2,0.4188,Nairobi,commercial,fair,21.09
paper,cardboard,46.93,3.34,0.8839,3,4,0.5193,Nairobi,household,excellent,16.86
metal,aluminum,65.22,8.65,0.8984,7,1,0.3934,Eldoret,industrial,excellent,128.52
e_waste,phones,9.79,7.41,0.6587,7,1,0.5741,Nairobi,household,fair,98.91
paper,mixed_paper,27.0,7.45,0.7231,1,0,0.5831,Kisumu,household,good,7.27
paper,mixed_paper,31.66,9.26,0.8717,6,6,0.2506,Nairobi,commercial,excellent,7.63
plastic,HDPE,3.69,1.24,0.8553,10,4,0.3676,Mombasa,commercial,excellent,23.13
paper,mixed_paper,1.41,8.48,0.824,10,6,0.6087,Mombasa,household,good,6.81
plastic,PVC,45.35,5.7,0.8206,11,3,0.6891,Nakuru,commercial,good,7.29
organic,garden_waste,17.53,8.21,0.8386,8,2,0.524,Nairobi,industrial,good,10.39
paper,newspaper,2.47,15.75,0.5154,6,0,0.3784,Mombasa,commercial,fair,6.09
plastic,mixed_plastic,6.88,4.53,0.5711,2,1,0.5739,Nairobi,household,fair,10.08
paper,newspaper,29.94,0.56,0.6845,9,6,0.2878,Kisumu,dump_site,fair,6.23
rubber,tyres,9.45,1.57,0.4991,4,2,0.4222,Nairobi,industrial,poor,15.54
plastic,PET,39.51,1.43,0.833,12,4,0.5335,Nairobi,industrial,good,42.16
textile,industrial_textile,57.42,4.04,0.7537,5,6,0.1809,Mombasa,commercial,good,6.91
e_waste,cables,0.64,21.36,0.7059,6,3,0.5644,Nairobi,industrial,good,61.83
plastic,PP,5.96,9.24,0.6273,4,3,0.4245,Kisumu,industrial,fair,13.82
plastic,HDPE,44.56,1.32,0.8473,6,3,0.4795,Nairobi,household,good,25.59
textile,industrial_textile,3.9,6.8,0.5592,6,5,0.5439,Nairobi,commercial,fair,6.31
e_waste,mixed_ewaste,33.65,6.54,0.6218,11,3,0.5821,Eldoret,household,fair,38.25
paper,office_paper,9.47,1.25,0.5481,2,4,0.2883,Mombasa,industrial,fair,14.3
plastic,HDPE,1.4,14.5,0.3846,2,1,0.6492,Nairobi,dump_site,poor,17.62
organic,food_waste,4.34,3.27,0.6926,8,5,0.5125,Nairobi,commercial,fair,6.27
organic,food_waste,57.66,3.04,0.66,12,1,0.3576,Mombasa,commercial,fair,5.02
plastic,HDPE,5.66,0.77,0.8679,3,0,0.494,Nairobi,household,excellent,32.05
plastic,HDPE,38.84,7.14,0.8054,3,3,0.2358,Nairobi,household,good,25.29
textile,clothes,19.62,2.13,0.5795,7,1,0.3736,Nairobi,household,fair,14.97
e_waste,phones,33.47,1.01,0.4033,5,0,0.3749,Nakuru,household,poor,66.26
metal,brass,38.42,3.38,0.7614,4,4,0.6929,Nairobi,dump_site,good,250.36
plastic,PET,15.05,5.46,0.8633,6,0,0.5585,Kisumu,dump_site,excellent,28.01
